property_id,transaction_id,address,zipcode,good_sell,list,url,lat,long,date_listed,transaction_date
225987,23864034,"1415 W Renee Dr, Phoenix, AZ 85027 ",85027,0.724612295627594,239999,https://www.zillow.com/homedetails/1415-W-Renee-Dr-Phoenix-AZ-85027/7969101_zpid/,33.6549,-112.09,6582,2018-01-08
41535,23889260,"6314 W Mohave St, Phoenix, AZ 85043 ",85043,0.7240607440471649,190000,https://www.zillow.com/homedetails/6314-W-Mohave-St-Phoenix-AZ-85043/55257271_zpid/,33.431999999999995,-112.196,6623,2018-02-18
9019728,23843826,"17413 N 8TH Ave, Phoenix, AZ 85023 ",85023,0.7232999503612518,184500,https://www.zillow.com/homedetails/17413-N-8th-Ave-Phoenix-AZ-85023/7963487_zpid/,33.6445,-112.085,6542,2017-11-29
534315,23853548,"1914 W Granada Rd, Phoenix, AZ 85009 ",85009,0.7228655219078064,189000,https://www.zillow.com/homedetails/1914-W-Granada-Rd-Phoenix-AZ-85009/7519853_zpid/,33.4686,-112.101,6549,2017-12-06
392083,23870745,"4137 W Royal Palm Rd, Phoenix, AZ 85051 ",85051,0.722823441028595,180000,https://www.zillow.com/homedetails/4137-W-Royal-Palm-Rd-Phoenix-AZ-85051/7752864_zpid/,33.5554,-112.149,6599,2018-01-25
312487,23888251,"1344 E Polk St, Phoenix, AZ 85006 ",85006,0.7226568758487701,169000,https://www.zillow.com/homedetails/1344-E-Polk-St-Phoenix-AZ-85006/71595779_zpid/,33.4532,-112.053,6622,2018-02-17
9029946,23905417,"10926 N 88th Dr, Peoria, AZ 85345 ",85345,0.7224944233894348,195000,https://www.zillow.com/homedetails/10926-N-88th-Dr-Peoria-AZ-85345/7684971_zpid/,33.5853,-112.25,6606,2018-02-01
8996162,23865480,"8420 W Butler Dr, Peoria, AZ 85345 ",85345,0.7217282652854919,219900,https://www.zillow.com/homedetails/8420-W-Butler-Dr-Peoria-AZ-85345/7683722_zpid/,33.5593,-112.241,6586,2018-01-12
9026864,23893893,"9509 W Cedar Hill Cir, Sun City, AZ 85351 ",85351,0.7216773629188538,219900,https://www.zillow.com/homedetails/9509-W-Cedar-Hill-Cir-Sun-City-AZ-85351/7922729_zpid/,33.6311,-112.265,6600,2018-01-26
9026855,23893778,"9509 W Cedar Hill Cir N, Sun City, AZ 85351 ",85351,0.7216773629188538,219900,https://www.zillow.com/homedetails/9509-W-Cedar-Hill-Cir-N-Sun-City-AZ-85351/7904856_zpid/,33.6311,-112.265,6600,2018-01-26
