property_id,transaction_id,address,zipcode,ypred,list,url
7471728,21901687,"2623 S 172nd Dr, Goodyear, AZ 85338 ",85338,0.5872034430503845,259000,https://www.zillow.com/homedetails/2623-S-172nd-Dr-Goodyear-AZ-85338/95150127_zpid/
8952447,17958353,"16503 W Tether Trl, Surprise, AZ 85387 ",85387,0.5871486663818359,274900,https://www.zillow.com/homedetails/16503-W-Tether-Trl-Surprise-AZ-85387/89456345_zpid/
926015,22344637,"23618 W Hidalgo Ave, Buckeye, AZ 85326 ",85326,0.5871199369430542,230000,https://www.zillow.com/homedetails/23618-W-Hidalgo-Ave-Buckeye-AZ-85326/82828970_zpid/
930057,22349647,"24759 W Illini St, Buckeye, AZ 85326 ",85326,0.5871199369430542,250000,https://www.zillow.com/homedetails/24759-W-Illini-St-Buckeye-AZ-85326/81981543_zpid/
1987213,21604645,"27516 N 172nd Ave, Surprise, AZ 85387 ",85387,0.5870670676231384,289900,https://www.zillow.com/homedetails/27516-N-172nd-Ave-Surprise-AZ-85387/95128162_zpid/
8947469,21926447,"14131 N 135th Ln, Surprise, AZ 85379 ",85379,0.58696049451828,270000,https://www.zillow.com/homedetails/14131-N-135th-Ln-Surprise-AZ-85379/62741016_zpid/
7442578,21963041,"8857 N 101st Dr, Peoria, AZ 85345 ",85345,0.5868998765945435,307630,https://www.zillow.com/homedetails/8857-N-101st-Dr-Peoria-AZ-85345/2095045472_zpid/
508295,21923448,"10311 W Foothill Dr, Peoria, AZ 85383 ",85383,0.5868998765945435,299900,https://www.zillow.com/homedetails/10311-W-Foothill-Dr-Peoria-AZ-85383/67790505_zpid/
524930,22304530,"9134 W Vernon Ave, Phoenix, AZ 85037 ",85037,0.5868300199508667,249000,https://www.zillow.com/homedetails/9134-W-Vernon-Ave-Phoenix-AZ-85037/67764424_zpid/
1600875,21948910,"18120 W Brown St, Waddell, AZ 85355 ",85355,0.5867789387702942,290000,https://www.zillow.com/homedetails/18120-W-Brown-St-Waddell-AZ-85355/88786743_zpid/
8964631,22259057,"20910 W Coronado Rd, Buckeye, AZ 85396 ",85396,0.58677738904953,312214,https://www.zillow.com/homedetails/20910-W-Coronado-Rd-Buckeye-AZ-85396/2093716417_zpid/
589647,22068575,"11459 E Ramblewood Ave, Mesa, AZ 85212 ",85212,0.5867683291435242,314995,https://www.zillow.com/homedetails/11459-E-Ramblewood-Ave-Mesa-AZ-85212/55275608_zpid/
444334,21838503,"2310 N 107th Dr, Avondale, AZ 85392 ",85392,0.5866813659667969,269900,https://www.zillow.com/homedetails/2310-N-107th-Dr-Avondale-AZ-85392/55256387_zpid/
7461103,21928271,"15054 W Riviera Dr, Surprise, AZ 85379 ",85379,0.5866813659667969,289900,https://www.zillow.com/homedetails/15054-W-Riviera-Dr-Surprise-AZ-85379/61000014_zpid/
7554659,21991774,"895 S Almira Ave, Gilbert, AZ 85296 ",85296,0.5866544842720032,289000,https://www.zillow.com/homedetails/895-S-Almira-Ave-Gilbert-AZ-85296/95165881_zpid/
