,address,ypred,list,gain-loss,gain-loss%,days_pred,url
3736122,"7717 Classy Cashmere Ct, Las Vegas, NV 89149 ",106220.78125,192000,-85779.21875,-0.4467667643229166,13.389906883239746,https://www.zillow.com/homedetails/7717-Classy-Cashmere-Ct-Las-Vegas-NV-89149/123488329_zpid/
1536148,"10540 E Coopers Hawk Dr, Sun Lakes, AZ 85248 ",148926.9375,234900,-85973.0625,-0.36599856321839086,72.25460815429688,https://www.zillow.com/homedetails/10540-E-Coopers-Hawk-Dr-Sun-Lakes-AZ-85248/8215115_zpid/
1958977,"2507 Leisure World, Mesa, AZ 85206 ",183918.46875,269900,-85981.53125,-0.31856810392738055,75.28020477294922,https://www.zillow.com/homedetails/2507-Leisure-World-Mesa-AZ-85206/7676080_zpid/
2560264,"16606 Glastonbury Rd, Detroit, MI 48219 ",78769.5859375,165000,-86230.4140625,-0.5226085700757576,89.51592254638672,https://www.zillow.com/homedetails/16606-Glastonbury-Rd-Detroit-MI-48219/88495506_zpid/
7427639,"901 W Piute Ave, Phoenix, AZ 85027 ",152654.84375,239000,-86345.15625,-0.36127680439330545,70.82169342041016,https://www.zillow.com/homedetails/901-W-Piute-Ave-Phoenix-AZ-85027/7971989_zpid/
7484702,"10531 Hedge View Ave, Las Vegas, NV 89129 ",81449.03125,167890,-86440.96875,-0.514866690988147,192.06460571289062,https://www.zillow.com/homedetails/10531-Hedge-View-Ave-Las-Vegas-NV-89129/71175356_zpid/
7484714,"8400 Sewards Bluff Ave, Las Vegas, NV 89129 ",98645.2109375,185900,-87254.7890625,-0.46936411545185586,135.2152099609375,https://www.zillow.com/homedetails/8400-Sewards-Bluff-Ave-Las-Vegas-NV-89129/6927441_zpid/
483710,"2639 N 65th Ave, Phoenix, AZ 85035 ",86653.9453125,174900,-88246.0546875,-0.5045514847770154,85.86571502685547,https://www.zillow.com/homedetails/2639-N-65th-Ave-Phoenix-AZ-85035/7490237_zpid/
1093205,"753 E Saddle Dr, Chandler, AZ 85225 ",126030.1328125,215000,-88969.8671875,-0.4138133357558139,68.5840072631836,https://www.zillow.com/homedetails/753-E-Saddle-Dr-Chandler-AZ-85225/8206393_zpid/
389080,"2502 W Corrine Dr, Phoenix, AZ 85029 ",90884.0625,179900,-89015.9375,-0.49480787937743187,80.18425750732422,https://www.zillow.com/homedetails/2502-W-Corrine-Dr-Phoenix-AZ-85029/7748235_zpid/
7449239,"11018 W Ventana Dr S, Sun City, AZ 85373 ",139740.390625,229000,-89259.609375,-0.3897799536026201,82.87645721435547,https://www.zillow.com/homedetails/11018-W-Ventana-Dr-S-Sun-City-AZ-85373/2094989950_zpid/
299188,"3154 E Clarendon Ave, Phoenix, AZ 85016 ",109029.6953125,198500,-89470.3046875,-0.4507320135390428,80.18425750732422,https://www.zillow.com/homedetails/3154-E-Clarendon-Ave-Phoenix-AZ-85016/7537480_zpid/
425766,"10013 W Kino Ln, Phoenix, AZ 85037 ",135227.875,225000,-89772.125,-0.39898722222222227,85.64869689941406,https://www.zillow.com/homedetails/10013-W-Kino-Ln-Phoenix-AZ-85037/7484017_zpid/
3561059,"9913 Camino Loma Verde Ave, Las Vegas, NV 89117 ",145002.1875,234788,-89785.8125,-0.38241227192190397,88.67691040039062,https://www.zillow.com/homedetails/9913-Camino-Loma-Verde-Ave-Las-Vegas-NV-89117/7110121_zpid/
