"Address","Neighborhood","Bedrooms","Bathrooms","Price","Rented","Date","Source"
"425 1st Street #907","Rincon Hill",1,1.0,3200,True,"04/08/2013","Climb SF"
"400 Beale Street #406","South Beach",2,1.0,3500,True,"04/08/2013","Climb SF"
"999 16th Street #15","Potrero Hill",1,1.5,3900,True,"03/26/2013","Climb SF"
"16 Jessie Street #311","South Financial District",1,1.0,3100,True,"03/26/2013","Climb SF"
"2712A Pine Street ","Lower Pacific Heights",2,1.5,3700,True,"03/20/2013","Climb SF"
"682 28th Street","Noe Valley",2,2.0,4500,True,"03/19/2013","Climb SF"
"338 Spear Street #18B","South Beach",2,2.0,5700,True,"03/04/2013","Climb SF"
"235 Berry Street #107","Mission Bay",3,3.0,7500,True,"03/04/2013","Climb SF"
"1703 Powell Street","North Beach",4,2.0,6200,True,"02/28/2013","Climb SF"
"201 Harrison Street #711","South Beach",1,1.0,2600,True,"02/28/2013","Climb SF"
"1979 Clay Street","Pacific Heights",3,2.0,5250,True,"02/26/2013","Climb SF"
"1340 Clay Street #402","Nob Hill",2,2.0,5975,True,"02/20/2013","Climb SF"
"235 Berry Street #102","Mission Bay",2,2.5,4300,True,"01/28/2012","Climb SF"
"55 Page Street #814","Hayes Valley",1,1.0,3200,True,"12/20/2011","Climb SF"
"16 Jessie St #407","Downtown",0,1.0,2000,True,"12/20/2011","Climb SF"
"555 4th St # 803","South Beach",2,2.0,3500,True,"12/06/2011","Climb SF"
"260 King St ","Mission Bay/SoMa",1,1.0,3500,True,"11/28/2011","Climb SF"
"74 New Montgomery #412","Financial District",1,1.0,3800,True,"11/20/2011","Climb SF"
"407 Palisade Drive","Oakland",3,3.5,4250,True,"07/02/2015","Climb SF"
"370 Santa Clara Avenue #6","Oakland",2,1.0,2950,True,"06/24/2015","Climb SF"
"675 Eighth Street #1","Oakland",2,2.5,3500,True,"05/04/2015","Climb SF"
"438 West Grand Avenue #429","Oakland",1,1.0,2900,True,"05/04/2015","Climb SF"
