address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
401 Crescent Court #4412,2,2,1073,climbsf_renting,http://www.climbsf.com/for-rent/401-crescent-ct-4412/,-122.417,37.735,51.5067,,,44,,0.00223607,82543,rental,3200,closed,,2016-02-01,,Bernal Heights,5,SF
401 Crescent Court #4412,2,2,1073,climbsf_renting,http://www.climbsf.com/for-rent/401-crescent-ct-4412/,-122.417,37.735,51.5067,,,44,,0.00223607,124726,rental,3100,closed,,2016-02-26,,Bernal Heights,5,SF
"683 San Jose Ave, San Francisco, CA 94110",3,2,2000,zillow_sf,http://www.zillow.com/homedetails/683-San-Jose-Ave-San-Francisco-CA-94110/15182557_zpid/,-122.422,37.7444,39.6946,1900,0,1,,,23269,rental,8500,open,,,2015-10-18,Bernal Heights,5,SF
"683 San Jose Ave, San Francisco, CA 94110",3,2,2000,zillow_sf,http://www.zillow.com/homedetails/683-San-Jose-Ave-San-Francisco-CA-94110/15182557_zpid/,-122.422,37.7444,39.6946,1900,0,1,,,24442,rental,7500,open,,,2015-10-22,Bernal Heights,5,SF
101 Murray Street,5,3,2267,climbsf_renting,http://www.climbsf.com/for-rent/101-murray-st/,-122.425,37.7337,54.6552,,,1,,0.00300167,24295,rental,4800,closed,-63,2015-11-17,2016-01-19,Bernal Heights,5,SF
101 Murray Street,5,3,2267,climbsf_renting,http://www.climbsf.com/for-rent/101-murray-st/,-122.425,37.7337,54.6552,,,1,,0.00300167,79999,rental,5950,closed,,2016-01-29,,Bernal Heights,5,SF
101 Murray Street,5,3,2267,climbsf_renting,http://www.climbsf.com/for-rent/101-murray-st/,-122.425,37.7337,54.6552,,,1,,0.00300167,82538,rental,5950,closed,,2016-02-01,,Bernal Heights,5,SF
101 Murray Street,5,3,2267,climbsf_renting,http://www.climbsf.com/for-rent/101-murray-st/,-122.425,37.7337,54.6552,,,1,,0.00300167,124707,rental,5950,closed,,2016-02-26,,Bernal Heights,5,SF
"101 Murray St, San Francisco, CA 94112",3,0,1600,zillow_sf,http://www.zillow.com/homedetails/101-Murray-St-San-Francisco-CA-94112/15164831_zpid/,-122.425,37.7337,54.6552,1926,0,1,,0.00300167,24447,rental,4800,open,,,2015-10-22,Bernal Heights,5,SF
"101 Murray St, San Francisco, CA 94112",3,0,1600,zillow_sf,http://www.zillow.com/homedetails/101-Murray-St-San-Francisco-CA-94112/15164831_zpid/,-122.425,37.7337,54.6552,1926,0,1,,0.00300167,73116,rental,5950,closed,13,2016-02-01,2016-01-19,Bernal Heights,5,SF
"127 Crescent Ave, San Francisco, CA 94110",3,1,750,zillow_sf,http://www.zillow.com/homedetails/127-Crescent-Ave-San-Francisco-CA-94110/15164333_zpid/,-122.422,37.7354,74.1026,1906,0,1,,0.0003,24403,rental,3500,open,,,2015-02-14,Bernal Heights,5,SF
"127 Crescent Ave, San Francisco, CA 94110",3,1,750,zillow_sf,http://www.zillow.com/homedetails/127-Crescent-Ave-San-Francisco-CA-94110/15164333_zpid/,-122.422,37.7354,74.1026,1906,0,1,,0.0003,24404,rental,3650,open,,,2015-02-19,Bernal Heights,5,SF
