id,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
146,50 Lansing St. #406,2,2,1066,climbsf_rented,http://www.climbsf.com/for-rent/50-lansing-st-406/,-122.394,37.786,27.3115,,,4,,0.0323883,146,rental,4200,closed,,2014-04-01,,South Beach,74,SF
147,260 King Street #479,2,2,1000,climbsf_rented,http://www.climbsf.com/for-rent/260-king-st-479/,-122.394,37.7774,4.2732,,,4,,0.0347701,147,rental,4250,closed,,2014-04-03,,South Beach,74,SF
,225 Grandview Avenue,3,2,0,climbsf_rented,http://www.climbsf.com/for-rent/225-grand-view-ave/,-122.441,37.7547,119.374,,,1,,0.00316228,148,rental,9500,closed,,2014-04-09,,Eureka Valley / Dolores Heights,16,SF
149,301 Main Street #3B,2,2,1820,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-3b/,-122.391,37.7894,4.83899e-05,,,3,1,0.0350366,149,rental,5975,closed,,2014-04-09,,South Beach,74,SF
150,814 Hayes Street #2,3,2,1200,climbsf_rented,http://www.climbsf.com/for-rent/814-hayes-st-2/,-122.43,37.7762,42.1639,,,1,,0.00304138,150,rental,5000,closed,,2014-04-09,,Alamo Square,1,SF
151,301 Main Street #4G,2,2,1407,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-4g/,-122.391,37.7894,4.83899e-05,,,4,1,0.0350366,151,rental,4800,closed,,2014-04-09,,South Beach,74,SF
152,1325 Indiana Street #308,1,2,943,climbsf_rented,http://www.climbsf.com/for-rent/1325-indiana-st-308/,-122.39,37.7537,7.02249,,,3,,0.0226824,152,rental,3500,closed,,2014-04-15,,Central Waterfront/Dogpatch,89,SF
153,1160 Mission Street #2303,1,1,745,climbsf_rented,http://www.climbsf.com/for-rent/1160-mission-st-2303/,-122.412,37.7784,12.0417,,,23,,0.0188351,153,rental,3600,closed,,2014-04-15,,South of Market,75,SF
154,74 New Montgomery Street #416,2,2,1123,climbsf_rented,http://www.climbsf.com/for-rent/74-new-montgomery-st-416/,-122.401,37.7875,7.64144,,,4,1,0.0252438,154,rental,4500,closed,,2014-04-22,,Yerba Buena,19,SF
155,301 Main Street #14F,2,2,1307,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-14f/,-122.391,37.7894,4.83899e-05,,,14,1,0.0350366,155,rental,5950,closed,,2014-04-22,,South Beach,74,SF
,155 Wood Street #155,3,2,0,climbsf_rented,http://www.climbsf.com/for-rent/155-wood-st-155/,-122.449,37.7815,83.0102,,,1,,0.00914385,156,rental,4200,closed,,2014-04-25,,Lone Mountain,41,SF
